electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value
-0.009843906666666668,-0.009895713333333334,-0.013698050000000002,-0.009427216666666667,-0.010104223333333332,-0.010625116666666668,-0.009687523333333335,-0.010052036666666667
-0.010312553333333334,-0.008958620000000002,-0.004739549999999998,-0.01052083,-0.010000043333333333,-0.010260513333333332,-0.008645886666666668,-0.008645756666666667
-0.00744799,-0.009010500000000001,0.010364423333333333,-0.009375173333333334,-0.009739666666666667,-0.009323080000000003,-0.010416416666666668,-0.010156243333333332
-0.01119795,-0.011145743333333333,-0.01036479,-0.008749980000000001,-0.009791686666666667,-0.009479456666666665,-0.012187359999999998,-0.010051863333333334
-0.01015641,-0.010000013333333333,-0.008177183333333332,-0.009166836666666667,-0.009739636666666667,-0.00807297,-0.010156436666666666,-0.008906186666666666
-0.010468846666666668,-0.00942702,0.006302239999999997,-0.009687550000000001,-0.01046877,-0.010885593333333332,-0.010937776666666666,-0.007552246666666663
-0.01010433,-0.008958176666666666,-0.0022395266666666667,-0.009479363333333334,-0.009895846666666666,-0.01005227,-0.012864653333333335,-0.008281263333333335
-0.008177106666666666,-0.008697800000000002,0.009791479999999995,-0.009635516666666667,-0.009375056666666666,-0.010208380000000001,-0.013854383333333335,-0.008541680000000001
-0.009010503333333334,-0.00958346,-0.012760413333333331,-0.009843906666666664,-0.009895863333333333,-0.010520916666666666,-0.009270920000000004,-0.00838538
-0.01145823,-0.010468783333333332,-0.010989159999999996,-0.008645949999999998,-0.009374976666666666,-0.010260476666666666,-0.010468586666666668,-0.011458706666666667
-0.009687606666666666,-0.0109897,-0.006666766666666666,-0.009479280000000001,-0.00937502,-0.010989470000000001,-0.007291519999999998,-0.007916816666666666
-0.00890628,-0.008906176666666665,-0.0069793666666666705,-0.009896076666666668,-0.009843843333333335,-0.009843613333333332,-0.011041543333333336,-0.00927083333333333
-0.00916685,-0.009791639999999999,-0.008541886666666667,-0.009427253333333333,-0.00984379,-0.011093933333333333,-0.009791776666666667,-0.009635399999999997
-0.010416636666666668,-0.010520993333333334,-0.01317746666666667,-0.009374966666666668,-0.010000146666666666,-0.009479203333333333,-0.014114416666666667,-0.00994797333333333
-0.008541770000000002,-0.008437646666666666,-0.012395549999999997,-0.00994787,-0.01046881,-0.00812508,-0.008489396666666668,-0.009270906666666667
-0.008646053333333332,-0.011770986666666665,-0.011093626666666667,-0.007135563333333333,-0.009427176666666667,-0.008437446666666668,-0.006562469999999998,-0.005208516666666669
-0.008749990000000001,-0.010052046666666668,-0.006718663333333336,-0.0091669,-0.010156283333333332,-0.010885540000000004,-0.01057315,-0.009218729999999998
-0.009166683333333333,-0.010104243333333334,5.209666666666557e-05,-0.008854266666666666,-0.00973957,-0.010364580000000002,-0.011145369999999998,-0.008541723333333332
-0.009531173333333335,-0.011302246666666666,-0.009583103333333337,-0.010520766666666665,-0.009687523333333333,-0.008541729999999997,-0.013125266666666665,-0.00682294666666667
-0.00859387,-0.00984381,-0.018020799999999997,-0.010000116666666668,-0.009687616666666668,-0.009895793333333331,-0.009635530000000002,-0.008489696666666664
-0.00833336,-0.009375183333333335,-0.012187493333333332,-0.009375046666666668,-0.010000133333333334,-0.009583633333333334,-0.009479113333333332,-0.008802156666666668
-0.010416920000000001,-0.007656229999999997,-0.010572980000000003,-0.009583366666666671,-0.010468833333333333,-0.009114803333333334,-0.008906613333333334,-0.009791740000000002
-0.010364806666666665,-0.01104186,-0.005833173333333333,-0.009531156666666669,-0.010312506666666665,-0.00927086,-0.007864570000000001,-0.008906253333333334
-0.009791810000000003,-0.007656470000000001,-0.006302293333333332,-0.009635406666666665,-0.00942711,-0.009166619999999999,-0.00833386,-0.00885399333333333
-0.008854279999999997,-0.008645913333333335,-0.010572873333333333,-0.009531333333333333,-0.009843756666666668,-0.011145793333333334,-0.010468886666666668,-0.009739506666666665
-0.010156246666666669,-0.008854163333333331,-0.011250159999999995,-0.008437536666666665,-0.009270906666666669,-0.009166633333333335,-0.008593743333333334,-0.009010499999999998
-0.009843776666666667,-0.010208400000000001,-0.011614700000000004,-0.008541823333333332,-0.01010418,-0.010208303333333335,-0.010052093333333331,-0.009114500000000001
-0.009374963333333335,-0.008021026666666667,-0.011822846666666663,-0.010052193333333332,-0.010625053333333334,-0.00947931,-0.008072953333333332,-0.00848988
-0.009635423333333334,-0.008749863333333335,-0.0076043700000000035,-0.009895913333333332,-0.010729206666666666,-0.009531143333333335,-0.008906193333333333,-0.0084898
-0.009375219999999998,-0.011666919999999999,-0.0036462199999999913,-0.01031257,-0.010729176666666665,-0.009479203333333332,-0.009010549999999999,-0.009375046666666664
-0.010260523333333334,-0.01015629,-0.007916953333333332,-0.009375043333333334,-0.009479206666666667,-0.010833453333333333,-0.00947917,-0.009479303333333335
-0.00937487,-0.009010406666666668,-0.008333333333333328,-0.009948116666666664,-0.009843733333333332,-0.010312466666666667,-0.010156373333333335,-0.010156373333333331
-0.010104213333333332,-0.009218889999999999,-0.004531323333333332,-0.00901059,-0.00963549,-0.009844003333333335,-0.009895843333333331,-0.009114803333333331
-0.010364616666666668,-0.010781220000000001,-0.002500036666666666,-0.009687493333333332,-0.01020837,-0.009739560000000001,-0.009948176666666666,-0.009479276666666668
-0.010989716666666668,-0.009531313333333331,-0.007656193333333331,-0.009531173333333334,-0.010104236666666667,-0.010989656666666668,-0.00869787,-0.009479156666666667
-0.006770683333333333,-0.00906241,-0.00026043666666666947,-0.010312323333333335,-0.010156323333333335,-0.009270753333333335,-0.008749923333333333,-0.009062723333333333
-0.009635473333333332,-0.008906243333333333,0.0006771033333333362,-0.008697906666666668,-0.009479223333333332,-0.00979165,-0.011562593333333331,-0.009895796666666665
-0.0071875566666666675,-0.01088548,-0.001145933333333334,-0.008750043333333334,-0.00963546,-0.010468909999999998,-0.009635396666666667,-0.008854103333333333
-0.00916679,-0.01109373,-0.005833006666666663,-0.009999976666666667,-0.010312526666666667,-0.010416769999999999,-0.010989706666666668,-0.009322983333333333
-0.008750069999999999,-0.01015635,-0.011302126666666669,-0.009166803333333333,-0.010260489999999999,-0.009531109999999999,-0.010104299999999998,-0.008698
-0.008333303333333333,-0.009687733333333335,-0.0033851033333333266,-0.009166693333333335,-0.010208373333333333,-0.009374976666666666,-0.00843784,-0.009270890000000002
-0.01317736333333333,-0.0085938,0.0017707500000000002,-0.00776051,-0.009479266666666666,-0.009843853333333333,-0.01317741,-0.009375013333333335
-0.005208116666666667,-0.009114433333333335,-0.009427089999999996,-0.00942709,-0.010312543333333334,-0.011041763333333333,-0.01744753,-0.008229333333333333
-0.008229336666666665,-0.01114591,-0.011875103333333333,-0.009427206666666667,-0.01005217,-0.009375016666666666,-0.03317680666666667,-0.008854359999999997
-0.007708526666666668,-0.009947943333333334,-0.010364893333333331,-0.009010523333333333,-0.009947923333333334,-0.009375156666666667,-0.015312449999999997,-0.009270646666666667
-0.00869787,-0.009635336666666668,-0.009270813333333332,-0.009687549999999998,-0.010104216666666667,-0.009843963333333334,-0.02427051333333333,-0.008906293333333334
-0.013281423333333334,-0.00973962,-0.010052413333333333,-0.009426933333333333,-0.01067713,-0.009270633333333332,-0.01427088333333334,-0.010572943333333331
-0.008281229999999997,-0.009218929999999998,-0.012135436666666666,-0.01010424,-0.010208380000000001,-0.01005211,-0.043593886666666665,-0.008645993333333334
-0.010729103333333333,-0.00968774,-0.010000130000000001,-0.008906453333333333,-0.009739679999999999,-0.009843846666666668,-0.03526001,-0.00953121
-0.008541756666666666,-0.00958354,-0.011562563333333331,-0.009322969999999998,-0.01015628,-0.009896106666666666,-0.039114676666666674,-0.009479083333333334
-0.014479156666666665,-0.010000126666666666,-0.011197683333333333,-0.009375046666666668,-0.010052123333333333,-0.010000003333333334,-0.016353926666666664,-0.01031259
-0.0063542699999999995,-0.009166516666666666,-0.008906186666666666,-0.009895746666666667,-0.009531316666666668,-0.009166696666666667,-0.014843913333333332,-0.008593863333333335
-0.010989896666666672,-0.00916684,-0.008906523333333333,-0.009166743333333333,-0.009374993333333333,-0.008906323333333334,-0.026146353333333327,-0.008749970000000001
-0.010624966666666668,-0.00927094,-0.012603806666666667,-0.0107291,-0.009895866666666666,-0.010573003333333336,-0.02416657000000001,-0.00906258
-0.008697799999999999,-0.009999716666666665,-0.01145842333333333,-0.009687506666666668,-0.010104220000000002,-0.010572973333333333,-0.018073069999999997,-0.008854066666666667
-0.008020766666666667,-0.009114566666666666,-0.01057268,-0.008958363333333332,-0.010104253333333334,-0.00932298,-0.025312646666666664,-0.010156479999999999
-0.006614533333333332,-0.009583503333333332,-0.010520809999999997,-0.008958366666666665,-0.009895886666666666,-0.009531323333333334,-0.01942729333333333,-0.009739633333333334
-0.009479093333333334,-0.009791683333333332,-0.012864386666666668,-0.010156446666666668,-0.010052133333333334,-0.009531193333333333,-0.01239589,-0.009062549999999997
-0.008437739999999999,-0.009531300000000001,-0.013229259999999998,-0.01031259,-0.010729213333333334,-0.009947943333333332,-0.017552436666666667,-0.009374946666666668
-0.007916596666666666,-0.00984401,-0.005729230000000001,-0.008333386666666668,-0.01057297,-0.010364766666666667,-0.01911460333333333,-0.009218800000000001
-0.012239563333333333,-0.009427306666666664,-0.012291743333333341,-0.008072696666666665,-0.009218783333333334,-0.009323046666666668,-0.01500040666666667,-0.009999973333333332
-0.006823106666666665,-0.011041776666666668,-0.0052084733333333365,-0.009687576666666666,-0.010104233333333334,-0.009843856666666666,-0.013177056666666666,-0.008333293333333333
-0.009948023333333333,-0.010260613333333335,-0.0032289033333333336,-0.0072918066666666686,-0.009427086666666668,-0.009531306666666666,-0.010208319999999998,-0.01020831333333333
-0.00947943,-0.010676883333333331,0.0010415266666666638,-0.010260693333333333,-0.010729276666666667,-0.009114653333333333,-0.008177013333333332,-0.008854536666666666
-0.01187518,-0.010260363333333335,-0.012291826666666669,-0.008177369999999998,-0.009375003333333333,-0.009635546666666666,-0.011197813333333334,-0.009687606666666668
-0.008645696666666666,-0.009479166666666665,0.008489606666666672,-0.008073166666666668,-0.010416683333333333,-0.009323050000000001,-0.009218719999999998,-0.009322909999999998
-0.010156296666666667,-0.010000183333333334,-0.0005209966666666673,-0.010208483333333334,-0.010260526666666665,-0.009948013333333332,-0.008906243333333334,-0.00937522
-0.009479166666666667,-0.009114733333333333,0.005260390000000004,-0.00927065,-0.009948043333333333,-0.009791723333333332,-0.011041793333333333,-0.011094
-0.009583353333333332,-0.00942704,-0.00874991,-0.010052036666666667,-0.009375033333333333,-0.00973969,-0.01010427,-0.01114584
-0.009322953333333333,-0.00963561,-0.00020829666666666893,-0.009062486666666668,-0.010260449999999999,-0.009062503333333334,-0.009010366666666667,-0.009322923333333333
-0.009895870000000003,-0.009270956666666667,0.00489595,-0.011197736666666668,-0.010156353333333333,-0.010364590000000002,-0.008958436666666666,-0.009948250000000002
-0.010260476666666666,-0.010000086666666666,-0.007812636666666668,-0.011718840000000001,-0.0105209,-0.009010463333333335,-0.007499916666666667,-0.010052236666666667
-0.009427046666666664,-0.009062543333333334,0.0008331533333333363,-0.008906183333333333,-0.009947953333333332,-0.010416666666666666,-0.009635523333333333,-0.010052236666666667
-0.009218683333333333,-0.00953119,0.012708276666666674,-0.00869798,-0.010156300000000002,-0.007812496666666666,-0.008854183333333333,-0.008802203333333335
-0.009375166666666667,-0.009218936666666667,0.01401055,-0.009947866666666668,-0.01005228,-0.010000123333333333,-0.008958343333333332,-0.009843776666666663
-0.01020834,-0.01005218333333333,-0.0005206399999999989,-0.01067714,-0.009635516666666667,-0.010051866666666668,-0.010052143333333334,-0.009271010000000001
-0.00833335,-0.009583369999999999,0.004531199999999997,-0.011093823333333332,-0.010520886666666666,-0.010364640000000001,-0.008541789999999999,-0.009583496666666667
-0.009843783333333333,-0.009427286666666666,0.0027604033333333373,-0.00911482333333333,-0.01062515,-0.009895890000000001,-0.008802243333333333,-0.00932297
-0.009270896666666667,-0.009635463333333332,0.0030728799999999988,-0.00937511,-0.009531280000000001,-0.009531259999999998,-0.010468973333333333,-0.00828120333333333
-0.009843893333333334,-0.00958355,-0.012604086666666665,-0.009635706666666665,-0.010052126666666666,-0.01015631,-0.008593773333333334,-0.008437636666666666
-0.008801986666666666,-0.009531176666666669,0.022031313333333327,-0.00781242,-0.009114723333333333,-0.00911463,-0.010000160000000001,-0.008750123333333333
-0.008593813333333334,-0.010312856666666669,-0.0008333700000000081,-0.008229203333333334,-0.010208403333333333,-0.009270806666666666,-0.008750036666666666,-0.008698019999999999
-0.009322946666666668,-0.008958089999999997,0.0038543266666666697,-0.008645669999999998,-0.009114686666666667,-0.00942729,-0.008906016666666667,-0.009687386666666667
-0.008750086666666667,-0.009739773333333333,-0.011041853333333332,-0.010208390000000001,-0.011093843333333334,-0.008958386666666669,-0.007447909999999999,-0.008958306666666666
-0.009531266666666666,-0.007604099999999998,-0.009583410000000002,-0.00973966,-0.010468823333333335,-0.010104153333333333,-0.006823126666666665,-0.008906319999999999
-0.009062503333333333,-0.009687663333333334,-0.011250083333333332,-0.009010463333333335,-0.01026046,-0.010573006666666667,-0.00432277,-0.008750046666666667
-0.008593783333333334,-0.008646150000000002,-0.010104216666666667,-0.009218793333333334,-0.01015631,-0.00963544,-0.006406179999999997,-0.009166810000000001
-0.008072966666666665,-0.006562523333333333,-0.008646099999999999,-0.00947925,-0.009739679999999999,-0.00791686,-0.006249876666666663,-0.009166643333333335
-0.009635536666666666,-0.008802536666666666,-0.009218656666666668,-0.008854176666666668,-0.01046879,-0.008437613333333335,-0.0014063066666666635,-0.008437483333333334
-0.009375033333333335,-0.009948043333333333,-0.009687743333333332,-0.009427116666666666,-0.009791726666666667,-0.009010616666666667,-0.007551980000000001,-0.00916668
-0.009010396666666667,-0.008698083333333335,-0.00901052666666667,-0.009114599999999999,-0.010052123333333333,-0.008593896666666666,5.168666666666525e-05,-0.00911469
-0.008802113333333335,-0.015052236666666668,-0.01078136666666667,-0.008385406666666666,-0.00906255,-0.008541463333333332,-0.007447896666666664,-0.00885427
-0.008333546666666667,-0.019687810000000004,-0.010729389999999998,-0.008958343333333335,-0.01010432,-0.010677466666666665,0.0014064033333333332,-0.00932289
-0.009375086666666668,-0.01140631,-0.010104206666666667,-0.010364693333333334,-0.01072934,-0.010208073333333335,-0.004479016666666667,-0.0101043
-0.008229166666666668,-0.00963518,-0.010052360000000002,-0.009270876666666667,-0.00916673,-0.01005225,-0.0008853566666666701,-0.01005207
-0.009895846666666666,-0.007343996666666666,-0.008229036666666667,-0.009375006666666666,-0.009062546666666667,-0.00921863,-0.010156503333333332,-0.011250063333333334
-0.010052110000000001,-0.011666656666666669,-0.01052085,-0.009010436666666666,-0.009895896666666666,-0.008385683333333333,-0.004687456666666663,-0.00963549
-0.009739616666666668,-0.012969096666666671,-0.01114593,-0.008489643333333333,-0.009843853333333333,-0.008958356666666667,-0.003750046666666667,-0.009010553333333332
-0.009635423333333334,-0.01031311,-0.010937616666666669,-0.0090105,-0.010104223333333334,-0.010312543333333334,-0.0045309933333333345,-0.010625106666666667
-0.008489626666666666,-0.010572896666666666,-0.01010423,-0.009218836666666667,-0.009895896666666666,-0.01015639,0.0006769533333333366,-0.009479236666666665
-0.009374963333333335,-0.008698396666666665,-0.010729413333333335,-0.009583386666666667,-0.010937483333333334,-0.011510526666666666,-0.008958403333333335,-0.009583456666666667
-0.00848963,-0.007031406666666668,-0.009635363333333332,-0.009218773333333334,-0.010052126666666666,-0.00796877,-0.007760329999999999,-0.00901042
-0.008958296666666667,-0.01125036333333333,-0.00984373,-0.008958346666666669,-0.01031258,-0.009531463333333334,-0.0058332900000000005,-0.009375043333333333
-0.009739556666666668,-0.009479429999999999,-0.010104303333333333,-0.01000006,-0.010104199999999999,-0.008020613333333336,-0.008906343333333332,-0.01000001
-0.010000066666666666,-0.010573059999999999,-0.010416816666666667,-0.009166703333333333,-0.009687573333333333,-0.008177126666666666,-0.009062499999999998,-0.010156296666666667
-0.009635576666666666,-0.010104213333333334,-0.011250146666666665,-0.009687513333333333,-0.009687563333333333,-0.01088541,-0.008854333333333336,-0.009479223333333332
-0.009322936666666667,-0.010260346666666666,-0.011041650000000002,-0.009375046666666668,-0.010104213333333334,-0.011094053333333333,-0.002343769999999999,-0.009010323333333334
-0.009427146666666667,-0.012865,-0.010104043333333333,-0.009062486666666666,-0.010729206666666666,-0.0101563,-0.004687663333333334,-0.00953134333333333
-0.009270983333333333,-0.010833560000000002,-0.009166316666666665,-0.009687666666666666,-0.009739593333333334,-0.009635613333333334,-0.009739636666666666,-0.00921882
-0.009479313333333333,-0.012031523333333329,-0.00947938,-0.00890626,-0.010208416666666666,-0.010781200000000001,-0.003437333333333329,-0.00927091
-0.010364663333333333,-0.012395913333333336,-0.011250166666666667,-0.009427146666666667,-0.009531319999999998,-0.011198086666666666,-0.005312383333333333,-0.008958369999999998
-0.008750026666666667,-0.011198036666666668,-0.010312493333333334,-0.009218800000000001,-0.00947923,-0.009947896666666666,-0.007760539999999996,-0.008854113333333332
-0.009531293333333333,-0.011927383333333335,-0.011250026666666668,-0.008593839999999998,-0.010104246666666667,-0.01020851,-0.007968606666666668,-0.009687636666666668
-0.00979174,-0.009687570000000001,-0.010156386666666668,-0.008750076666666665,-0.009583403333333332,-0.009635580000000003,-0.008541399999999998,-0.009114653333333333
-0.009427173333333332,-0.01104184333333333,-0.010468733333333334,-0.009322986666666668,-0.010364653333333335,-0.00942708,-0.009062596666666662,-0.009375056666666668
-0.009531363333333332,-0.010156316666666667,-0.009791623333333332,-0.00937508,-0.01026051,-0.00937499,-0.009739663333333332,-0.009427156666666667
-0.0089584,-0.009635376666666667,-0.010156326666666665,-0.009166743333333335,-0.009895880000000001,-0.009479196666666667,-0.010885583333333332,-0.00953131
-0.00953131,-0.01088561,-0.010937653333333333,-0.010000050000000002,-0.009739639999999999,-0.010833453333333333,-0.004843896666666666,-0.0088021
-0.009062529999999997,-0.010000186666666664,-0.009375056666666668,-0.008958419999999998,-0.010000070000000002,-0.007656389999999999,-0.00901054,-0.00885419
