electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
3,4,31,21,0,0,0,0
2,8,32,28,1,1,0,3
2,1,26,14,2,1,1,0
0,8,24,12,0,1,0,0
2,4,18,22,0,0,0,0
0,6,48,28,2,0,0,0
1,3,29,24,0,0,0,1
0,5,31,21,0,0,0,0
0,6,25,15,0,0,0,0
2,1,19,15,1,0,0,0
0,4,25,15,0,0,0,2
1,1,19,15,0,0,0,0
1,3,19,19,0,0,0,0
2,4,16,9,0,1,0,0
1,3,22,26,4,0,0,0
1,1,21,20,1,0,0,0
0,3,22,22,0,0,0,0
1,1,22,15,0,0,0,0
0,3,20,26,1,1,0,0
0,2,22,9,0,0,0,0
0,1,15,12,0,0,0,0
0,1,15,11,0,0,0,0
0,0,19,15,1,0,0,0
1,3,15,10,1,0,0,0
2,2,13,19,0,0,0,0
0,0,7,13,0,0,0,1
0,2,19,8,0,0,0,0
1,1,17,13,0,0,0,0
0,1,16,11,1,0,0,0
0,1,14,21,0,0,0,0
0,1,10,11,0,0,0,0
0,0,7,10,0,0,0,0
1,1,10,9,0,0,0,0
0,0,17,19,0,0,0,0
0,0,11,14,0,0,0,0
2,0,12,17,0,0,0,0
1,0,18,14,0,0,0,0
0,0,14,19,0,0,0,0
0,0,17,13,0,0,0,0
0,0,16,11,0,0,0,0
2,2,17,16,1,0,0,0
0,0,12,20,0,0,0,0
0,1,20,11,1,0,0,0
0,0,17,11,0,0,0,0
0,2,18,11,0,0,0,0
0,1,21,13,0,0,0,0
0,0,13,16,1,0,0,0
0,0,22,10,1,0,0,0
0,0,10,15,0,0,0,0
0,0,15,8,0,0,0,0
0,0,11,12,0,0,0,0
0,0,16,12,0,0,0,0
0,0,19,17,0,0,0,0
0,0,14,14,0,0,0,0
0,0,15,16,0,0,0,0
2,0,15,13,0,0,0,0
0,0,18,5,0,0,0,0
0,1,11,14,0,0,0,0
0,0,9,10,0,0,0,0
0,0,7,13,0,0,0,0
1,1,14,8,0,0,0,0
0,0,5,6,0,0,0,0
0,0,5,8,0,0,0,0
0,0,7,6,0,0,0,0
0,0,7,5,0,0,0,0
0,0,4,2,0,1,0,0
2,0,3,3,1,0,0,0
0,0,6,3,0,0,0,0
2,1,5,1,0,0,0,0
0,0,9,1,1,0,0,0
1,2,7,4,0,0,0,0
0,1,2,1,0,0,0,0
0,1,5,1,0,0,0,0
0,0,4,3,0,0,0,0
1,0,2,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,3,0,0,0,0,0
0,0,5,0,0,0,0,0
0,0,3,0,0,0,0,0
2,0,3,0,0,0,0,0
0,1,8,4,0,0,0,0
1,0,7,6,0,0,0,0
0,0,7,2,0,0,0,0
0,0,4,3,0,0,0,0
0,1,6,1,0,0,0,0
1,0,4,2,0,0,0,0
0,0,7,3,0,1,0,0
1,0,6,1,0,0,0,0
0,0,4,1,0,1,0,0
0,0,5,0,0,0,0,1
0,0,5,2,0,0,0,0
0,0,7,1,0,0,0,0
0,0,6,3,0,0,0,0
0,1,5,3,0,0,0,0
0,2,6,1,0,0,0,0
0,1,19,6,0,0,0,0
1,2,13,6,0,0,0,0
10,0,8,3,0,0,0,0
1,1,11,6,0,0,0,0
4,4,8,2,0,0,0,0
3,0,7,5,0,0,0,0
11,0,9,4,0,0,0,0
12,1,23,12,1,0,0,0
14,1,6,9,0,0,0,0
7,1,12,15,0,0,0,0
1,0,1,5,2,0,0,0
1,2,7,5,0,0,0,0
3,0,2,4,0,0,0,0
5,0,1,2,0,0,0,0
3,0,1,2,0,0,0,0
1,1,0,1,0,0,0,0
8,0,0,2,0,0,0,0
7,0,6,1,0,0,0,0
5,1,18,5,0,0,0,0
2,0,0,1,0,0,0,0
7,0,0,1,0,0,0,2
5,1,1,1,0,0,0,0
4,0,1,1,0,0,0,0
5,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
0,0,8,1,0,0,0,0
0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0
2,2,0,1,0,0,0,0
1,2,0,0,0,0,0,0
2,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0
1,0,0,3,0,0,0,0
2,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
10,0,0,2,0,0,0,0
0,1,1,0,0,0,0,0
2,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
0,2,0,0,0,0,0,0
2,1,0,0,1,0,0,0
0,4,1,0,0,0,0,0
3,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,1,0,1,0,0,0,0
0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,9,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0
0,1,32,4,2,2,0,0
0,0,0,2,1,0,0,0
0,0,0,9,3,0,0,0
0,0,2,3,1,0,0,0
0,0,0,8,1,0,0,0
0,0,0,0,0,1,0,0
0,0,1,2,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,3,0,0,0
0,1,1,4,0,0,0,0
0,0,0,2,3,0,0,0
2,0,0,3,0,0,0,0
2,0,3,3,2,0,0,0
0,0,0,7,0,0,0,0
2,1,36,2,1,0,0,3
0,0,38,6,2,0,0,0
0,0,0,5,0,0,0,0
0,0,0,3,1,0,0,0
0,0,0,3,0,0,0,0
0,1,0,3,3,0,0,0
0,0,1,3,1,0,0,0
0,0,0,1,0,0,0,0
0,0,1,2,1,0,0,0
0,0,0,2,0,0,0,0
2,0,0,4,2,0,0,0
0,0,0,3,0,1,0,0
0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0
0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0
0,0,1,0,1,0,0,0
0,0,3,1,0,21,0,0
0,0,0,0,0,29,0,0
0,0,0,1,0,31,0,0
0,0,0,0,0,34,0,0
0,0,0,0,0,20,0,0
0,0,0,0,0,28,0,0
0,0,45,1,0,24,0,0
0,0,36,1,0,28,0,0
0,0,21,0,0,7,0,0
0,0,0,0,0,46,1,0
0,0,0,0,0,25,0,0
0,4,5,1,0,37,0,0
0,0,0,1,1,19,0,0
0,0,24,2,0,0,0,0
0,5,1,2,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0
10,0,4,1,0,0,0,0
7,1,4,1,0,0,0,1
6,0,1,1,0,0,0,0
3,0,4,0,0,0,0,0
1,1,1,0,0,0,0,0
7,0,7,0,0,0,0,0
1,0,6,0,0,0,0,0
2,0,0,3,0,0,0,0
2,0,3,0,0,0,0,0
0,1,2,0,0,0,0,0
3,0,3,4,1,0,0,0
3,0,2,0,0,0,0,1
1,0,3,1,0,0,0,0
2,0,6,5,0,0,0,0
4,0,15,3,0,0,0,0
6,0,15,8,0,0,0,0
3,0,16,5,0,0,0,0
3,0,9,9,0,0,0,0
3,0,6,9,0,0,0,0
0,0,13,10,0,0,0,0
4,0,3,3,0,0,0,0
6,0,18,8,0,0,0,0
3,0,13,8,0,0,0,0
0,0,5,71,7,0,0,0
0,0,1,75,10,0,0,0
0,0,1,80,12,1,0,0
0,0,2,89,6,0,0,0
0,0,1,76,7,0,0,0
0,0,0,72,6,0,0,0
0,0,0,79,8,0,0,0
0,0,4,83,8,0,0,0
0,0,0,74,4,0,0,0
0,0,0,72,6,0,0,0
0,0,0,80,4,0,0,0
0,0,1,78,7,0,0,0
0,0,0,79,5,0,0,0
0,0,1,68,5,0,0,0
0,0,1,82,4,0,0,0
0,0,1,89,2,0,0,0
0,0,2,74,6,4,1,0
0,0,3,74,4,0,0,0
0,0,1,83,6,1,0,0
0,0,0,88,7,0,0,0
0,0,0,90,4,0,0,0
0,0,4,79,7,0,0,0
0,0,3,86,7,0,0,0
0,0,1,84,6,0,0,0
0,0,0,85,3,0,0,0
0,0,9,33,1,0,0,0
0,0,25,2,0,0,0,0
0,0,19,1,0,0,0,0
0,1,23,1,0,1,11,0
0,3,23,0,0,0,0,0
0,1,19,1,0,0,0,0
0,0,17,1,0,0,0,0
0,0,20,0,0,0,0,0
0,2,25,0,0,0,0,0
0,0,26,0,0,0,0,0
0,5,15,0,0,0,0,0
0,0,9,2,0,0,0,0
0,0,13,2,0,0,0,0
0,2,20,1,0,0,0,0
0,1,10,0,0,0,0,0
0,0,8,0,0,0,0,0
0,0,17,1,0,0,0,0
0,3,17,0,0,0,0,0
0,0,14,0,0,0,0,0
0,0,16,1,0,0,0,0
0,2,18,1,0,0,0,0
0,1,20,1,0,0,0,0
0,0,15,3,0,0,0,0
0,4,9,1,0,0,0,0
0,0,7,1,0,0,0,0
0,2,16,1,0,0,0,0
0,3,8,0,0,0,0,0
0,2,21,1,0,0,0,0
0,2,21,0,0,0,0,0
0,0,19,1,0,0,0,0
0,1,13,0,0,0,0,0
0,0,13,0,0,0,0,0
0,0,9,0,0,0,0,0
0,3,17,1,0,0,0,0
0,16,17,74,16,0,0,4
0,1,2,78,14,0,1,4
0,3,8,77,15,1,1,9
0,0,9,90,29,1,0,8
1,2,7,95,21,1,1,13
0,2,4,83,27,0,3,15
0,0,8,81,22,0,1,8
0,1,14,81,33,1,0,8
0,0,8,91,16,0,0,4
0,1,6,79,15,1,0,0
0,1,11,82,18,0,0,0
0,2,15,95,24,0,0,0
0,0,3,93,22,0,0,0
0,0,8,91,16,1,0,0
0,0,6,98,18,2,0,0
0,0,6,81,18,0,0,0
1,0,8,96,21,0,0,0
0,0,10,105,26,0,0,0
0,0,8,97,25,0,0,0
0,0,3,89,24,0,0,0
0,2,9,90,27,1,0,0
0,0,7,97,18,0,0,0
0,0,5,84,25,0,0,0
0,0,1,81,15,0,0,0
0,3,5,95,23,0,0,0
0,1,5,81,15,0,0,0
0,0,5,87,19,0,0,0
0,0,8,79,22,11,1,0
0,0,6,96,15,0,0,0
0,0,8,90,16,0,0,0
0,0,8,96,25,1,0,0
1,7,0,27,4,0,0,0
1,9,0,3,1,1,0,0
1,12,0,0,0,1,0,0
2,10,2,0,0,0,0,0
0,8,0,0,0,0,0,0
1,10,0,1,0,0,0,0
1,9,1,0,1,1,0,2
0,5,0,0,1,0,0,0
1,10,1,0,4,0,0,0
0,6,0,0,1,0,0,0
0,9,0,0,0,0,0,0
0,8,1,0,6,0,0,0
0,24,3,7,38,0,0,0
0,17,2,16,60,0,0,0
0,14,1,13,45,0,0,0
0,14,0,15,42,0,0,0
0,23,4,9,40,0,0,0
0,27,1,13,55,0,0,0
0,36,6,12,41,0,0,0
0,19,6,14,46,0,1,0
0,17,1,9,29,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,0,0,0,0,7,50,1
6,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,3,0,2,0
0,0,0,1,10,1,14,0
0,0,0,1,9,0,25,0
11,0,0,1,16,2,19,11
0,0,0,3,20,0,24,0
0,0,0,0,15,0,27,0
0,0,0,3,6,5,32,0
0,0,0,1,18,3,14,0
0,0,0,2,18,2,8,0
0,0,0,1,15,1,9,0
0,0,0,2,14,0,0,0
0,0,0,1,9,2,6,0
0,0,1,0,10,1,5,0
0,0,0,0,9,0,1,0
0,0,0,3,17,2,8,0
0,0,0,1,21,1,7,0
0,0,0,0,18,7,26,2
0,0,2,2,12,3,13,0
0,0,0,0,9,1,30,1
0,0,0,2,21,2,10,0
0,0,0,1,13,2,13,0
0,0,0,0,19,4,2,0
0,0,0,1,21,0,9,0
0,0,0,0,11,3,8,0
0,0,1,1,12,3,4,0
0,0,0,1,18,3,1,0
